name,version,publisher,install_location,uninstall_string,source
SQL Server Management Studio 22,22.0.0,Microsoft Corporation,C:\Program Files\Microsoft SQL Server Management Studio 22\Release,"""C:\Program Files (x86)\Microsoft Visual Studio\Installer\setup.exe"" uninstall --installPath ""C:\Program Files\Microsoft SQL Server Management Studio 22\Release""",registry
Steam,2.10.91.91,Valve Corporation,,C:\Program Files (x86)\Steam\uninstall.exe,registry
Teams Machine-Wide Installer,1.6.0.11166,Microsoft Corporation,,MsiExec.exe /I{731F6BAA-A986-45A4-8936-7C3AAAAA760B},registry
Tesseract-OCR - open source OCR engine,5.5.0.20241111,Tesseract-OCR community,,"""C:\Program Files\Tesseract-OCR\tesseract-uninstall.exe"" /S",registry
UE Prerequisites (x64),1.0.20.0,"Epic Games, Inc.",,"""C:\ProgramData\Package Cache\{b24cae82-bb64-4ad2-820a-dc2c4031c914}\UEPrereqSetup_x64.exe"" /uninstall /quiet",registry
Universal CRT Extension SDK,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{C77D7BE2-B9B7-B6D5-5DFF-35CB6601C91B},registry
Universal CRT Extension SDK,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{17D838D5-F629-9E56-3F16-0EA48C3905F7},registry
Universal CRT Headers Libraries and Sources,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{E46FFDDB-220B-543F-63E4-4C31EAE2B3EA},registry
Universal CRT Headers Libraries and Sources,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{4848F8AA-19FC-351A-030B-7092A476AA52},registry
Universal CRT Redistributable,10.0.26624,Microsoft Corporation,,MsiExec.exe /I{0460C87B-7F4C-3170-FAC9-B7A6AE5CE4E9},registry
Universal CRT Redistributable,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{6B9089CB-51B0-1F55-CED4-B6E0DE9FA6F2},registry
Universal CRT Redistributable,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{91A9666E-74FD-E29C-73E1-F80224B8A1B1},registry
Universal CRT Tools x64,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{9148976E-7F75-C671-E6BB-E2675C55CB43},registry
Universal CRT Tools x86,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{84E32B8D-5471-246E-5E0A-E19954BD7D3D},registry
Universal General MIDI DLS Extension SDK,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{8D9EB659-EE43-64F8-B490-F0980DF823A2},registry
Universal General MIDI DLS Extension SDK,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{70A5208E-B854-F943-DA13-8F5E14C2299E},registry
vcpp_crt.redist.clickonce,14.42.34438,Microsoft Corporation,,MsiExec.exe /I{74861744-466F-4E55-B4FB-D81F9384D26D},registry
vcpp_crt.redist.clickonce,14.44.35211,Microsoft Corporation,,MsiExec.exe /I{4E280F05-D704-4846-B163-DCAAB793DE6C},registry
Visual Studio Community 2022,17.14.23,Microsoft Corporation,C:\Program Files\Microsoft Visual Studio\2022\Community,"""C:\Program Files (x86)\Microsoft Visual Studio\Installer\setup.exe"" uninstall --installPath ""C:\Program Files\Microsoft Visual Studio\2022\Community""",registry
Visual Studio Derleme Araçları 2022 (2),17.14.7,Microsoft Corporation,C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools,"""C:\Program Files (x86)\Microsoft Visual Studio\Installer\setup.exe"" uninstall --installPath ""C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools""",registry
Visual Studio için Microsoft .NET Framework Toplu Intellisense Paketi (Türkçe),4.8.09037,Microsoft Corporation,,MsiExec.exe /X{1FD9F0BC-92D7-4407-8D98-9BC633CF84F7},registry
VS Immersive Activate Helper,17.0.157.0,Microsoft Corporation,,MsiExec.exe /I{BE00F49A-2FA1-46E6-B30F-A2653BF7CD75},registry
VS JIT Debugger,17.0.157.0,Microsoft Corporation,,MsiExec.exe /I{6C1EDC0A-E71D-44D2-821C-213A5CD15498},registry
VS Script Debugging Common,17.0.157.0,Microsoft Corporation,,MsiExec.exe /I{F5796163-6EC6-488A-B2DE-E1E94477F6AD},registry
vs_BlendMsi,17.14.36015,Microsoft Corporation,,MsiExec.exe /I{99614A72-109A-4B4F-BF78-7AB13A59CAFF},registry
vs_clickoncebootstrappermsi,17.14.36015,Microsoft Corporation,,MsiExec.exe /I{1A1BF820-6D25-4B65-8C95-F29487B1CB34},registry
vs_clickoncebootstrappermsires,17.14.36015,Microsoft Corporation,,MsiExec.exe /I{9D460280-D43F-4AA5-A712-88D841B764BC},registry
vs_clickoncesigntoolmsi,17.14.36015,Microsoft Corporation,,MsiExec.exe /I{506605DE-0E7C-48AD-9F3C-74C738C4BFE0},registry
vs_communitymsires,18.0.11104,Microsoft Corporation,,MsiExec.exe /I{777B9804-12EF-430A-818C-4DB80E18E241},registry
vs_communitysharedmsi,18.0.11121,Microsoft Corporation,,MsiExec.exe /I{85A8BDFB-73C5-4DD2-A928-D2148D4A244D},registry
vs_communityx64msi,18.0.11121,Microsoft Corporation,,MsiExec.exe /I{367AAA94-8F56-4713-95C3-11C2CE97F210},registry
vs_CoreEditorFonts,17.7.40001,Microsoft Corporation,,MsiExec.exe /I{1851460E-0E63-4117-B5BA-25A2F045801B},registry
vs_devenvsharedmsi,17.14.36015,Microsoft Corporation,,MsiExec.exe /I{B4AE0B55-6C49-4E6E-9FA9-45ADCDA64354},registry
vs_devenx64vmsi,17.14.36015,Microsoft Corporation,,MsiExec.exe /I{5B7C4B06-7F22-461E-AABE-29E7719CB225},registry
vs_filehandler_amd64,18.0.11121,Microsoft Corporation,,MsiExec.exe /I{92371FA3-CA14-4303-917A-A8CED3A57060},registry
vs_filehandler_x86,18.0.11121,Microsoft Corporation,,MsiExec.exe /I{6A15B24C-7B44-4B48-9E0D-07DA67DF0BC0},registry
vs_FileTracker_Singleton,18.0.11101,Microsoft Corporation,,MsiExec.exe /I{8026396C-E06C-4952-9DC9-6D0A6AFED5AF},registry
vs_githubprotocolhandlermsi,18.0.11101,Microsoft Corporation,,MsiExec.exe /I{7A4E6A56-184C-4582-8DC7-C6F3D9BFBE32},registry
vs_Graphics_Singletonx64,17.14.36015,Microsoft Corporation,,MsiExec.exe /I{5C6E65EA-152C-472E-8538-D4D04F64B2B1},registry
vs_Graphics_Singletonx86,17.14.36015,Microsoft Corporation,,MsiExec.exe /I{D66B561B-88B3-4BB0-ABF5-C5CF736F7311},registry
vs_minshellinteropmsi,17.14.36015,Microsoft Corporation,,MsiExec.exe /I{A2FDDC26-4232-4287-8839-2F53A01E1E97},registry
vs_minshellinteropsharedmsi,18.0.11101,Microsoft Corporation,,MsiExec.exe /I{008C4184-6C99-4211-AA94-12E192632A4C},registry
vs_minshellinteropx64msi,18.0.11101,Microsoft Corporation,,MsiExec.exe /I{1F183C8C-D1D4-4E02-BFF4-08C5AB78D674},registry
vs_minshellmsi,17.14.36015,Microsoft Corporation,,MsiExec.exe /I{C9DF1E1B-6F41-47DF-85C6-7C39DD1084C8},registry
vs_minshellmsires,18.0.11101,Microsoft Corporation,,MsiExec.exe /I{BF76BF80-2CBD-4BFB-9921-DC1304453BBA},registry
vs_minshellsharedmsi,18.0.11121,Microsoft Corporation,,MsiExec.exe /I{515AB21C-D491-4325-9901-14ACED0B8B01},registry
vs_minshellx64msi,18.0.11101,Microsoft Corporation,,MsiExec.exe /I{9317F80D-F1E2-4723-B5FD-98B8502E2D40},registry
vs_SQLClickOnceBootstrappermsi,17.14.36015,Microsoft Corporation,,MsiExec.exe /I{D1A4C2CE-7804-492B-82C0-CA9F9705C60A},registry
vs_ssmsprotocolselectormsi,18.0.11101,Microsoft Corporation,,MsiExec.exe /I{7D0DDD1E-082D-4CFC-900A-6ECC8B4A3E5B},registry
vs_ssmsprotocolselectormsires,18.0.11101,Microsoft Corporation,,MsiExec.exe /I{0EDCF636-7846-4196-A06B-542B6C2F770C},registry
vs_tipsmsi,17.14.36015,Microsoft Corporation,,MsiExec.exe /I{1A3719B4-93AA-4DCD-885C-2AF1AB6EC358},registry
vs_vswebprotocolselectormsi,18.0.11101,Microsoft Corporation,,MsiExec.exe /I{57E735DF-CE88-4C84-90D6-9AE79410CD95},registry
vs_vswebprotocolselectormsires,18.0.11101,Microsoft Corporation,,MsiExec.exe /I{8092BA1E-9CF9-4BC4-9F56-3C014F478579},registry
WinAppDeploy,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{B9DFA002-E65B-570D-4FB4-70F5D0EE154B},registry
WinAppDeploy,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{6A42C143-7C8D-F97C-FC25-BBBDC160CC49},registry
Windows App Certification Kit Native Components,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{428D5353-2260-9FA3-C9D3-DF30655A1DB2},registry
Windows App Certification Kit SupportedApiList x86,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{907C021B-383E-837F-8213-B1C6714F48DA},registry
Windows App Certification Kit x64,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{8C92A051-F5CF-0258-AE17-567037FB8741},registry
Windows App Certification Kit x64 (OnecoreUAP),10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{B750E36B-E18D-F0D4-9099-B1F531FB0F31},registry
Windows Desktop Extension SDK,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{61CA8D3B-6426-D9E3-91CB-1706839276BE},registry
Windows Desktop Extension SDK,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{780A409F-FF4C-3361-372A-D97E456C1B9E},registry
Windows Desktop Extension SDK Contracts,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{B73B126E-2832-752B-C24D-B50D236DF1CA},registry
Windows Desktop Extension SDK Contracts,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{08CA91C8-29C9-527B-445F-A092F07E2E7A},registry
Windows IoT Extension SDK,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{39EBF327-9F05-795D-3D71-25F5210D85D4},registry
Windows IoT Extension SDK,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{7C298756-AA56-7087-763F-AEF33AE569C3},registry
Windows IoT Extension SDK Contracts,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{DF85874C-C242-8352-7F7F-AC98ED102311},registry
Windows IoT Extension SDK Contracts,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{D732C721-14D9-43CF-21CD-9394F0912656},registry
Windows Mobile Extension SDK,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{A7FD5BDD-07E5-963E-B442-0DA8738EF18D},registry
Windows Mobile Extension SDK,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{569126D6-2540-F73B-8F7F-09AFF1FC2CEF},registry
Windows Mobile Extension SDK Contracts,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{ADD6795C-1115-DFF1-3932-E044F98D97CA},registry
Windows Mobile Extension SDK Contracts,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{76E2EA76-04AE-2CCD-4F8F-3E9F25B16034},registry
Windows SDK,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{BD8FDB18-B514-2FCD-A4F0-CC1D08941D4C},registry
Windows SDK AddOn,10.1.0.0,Microsoft Corporation,,MsiExec.exe /I{F1E37C98-16B7-421F-BA33-6C5B5400012A},registry
Windows SDK ARM Desktop Tools,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{32F2F158-3261-006E-5AA6-62A927EEBB29},registry
Windows SDK ARM64 Desktop Tools,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{0E7C147F-B447-5D34-A27B-F731EB5C5866},registry
Windows SDK Desktop Headers arm,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{8A4F839F-89EC-EF7E-EE73-07D4E02CC63B},registry
Windows SDK Desktop Headers arm64,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{5FC776BD-E780-F34A-2BCA-F6BABF7699B2},registry
Windows SDK Desktop Headers arm64,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{24A09BED-02FD-8FF8-46C1-76030D482B4F},registry
Windows SDK Desktop Headers x64,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{1F079CA3-A855-D075-2DBD-013FDCE1A711},registry
Windows SDK Desktop Headers x64,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{403033BA-0E91-DC0B-4368-EFCEE5ABC570},registry
Windows SDK Desktop Headers x86,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{293DAAA3-1A33-3825-B6A7-6C9A7FC8F847},registry
Windows SDK Desktop Headers x86,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{DD870EAE-65A8-9AFC-2395-8EF4BD8588F2},registry
Windows SDK Desktop Libs arm,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{DD312DEC-9A32-8DB3-6D7B-499F084D4C6B},registry
Windows SDK Desktop Libs arm64,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{0503A374-8AB6-5702-BA17-BCE21EE33103},registry
Windows SDK Desktop Libs arm64,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{6A4A9BCC-ECBE-C338-0CF8-1806767710FC},registry
Windows SDK Desktop Libs x64,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{A82C1991-2667-0151-896F-C92C3FCD8AA1},registry
Windows SDK Desktop Libs x64,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{B7DCB3D5-470C-5224-43E4-017B132735EF},registry
Windows SDK Desktop Libs x86,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{EE2F89EC-0FED-CF05-46E5-9EFE9715FC66},registry
Windows SDK Desktop Libs x86,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{EDBF8086-745A-5300-12DB-4E22C2CC50E0},registry
Windows SDK Desktop Tools arm64,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{58A9FF8E-CABC-BE66-9588-78430B054EDA},registry
Windows SDK Desktop Tools arm64,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{C2B82E29-6791-B430-46FC-B0E42D66D4D5},registry
Windows SDK Desktop Tools x64,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{2DBDB095-D491-1983-F74F-EF988CA60CF7},registry
Windows SDK Desktop Tools x64,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{606D574B-F0E5-9F8D-803C-C7A89573440F},registry
Windows SDK Desktop Tools x86,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{884234AF-FE4E-3B81-B758-C38EB045C832},registry
Windows SDK Desktop Tools x86,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{040203F6-1D53-CAD8-4856-5DB42936BCE4},registry
Windows SDK DirectX x64 Remote,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{5F5EB296-B579-325A-26B8-318C4CC1B657},registry
Windows SDK DirectX x86 Remote,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{F4D0EBF2-E397-F743-122D-4F7E24D39E8A},registry
Windows SDK EULA,10.1.22621.5040,Microsoft Corporations,,MsiExec.exe /I{1B9DE5A3-4B45-E518-3E41-ED155A646D8F},registry
Windows SDK EULA,10.1.26100.7175,Microsoft Corporations,,MsiExec.exe /I{A62FF366-EE22-B0B8-727B-027421680FEE},registry
Windows SDK Facade Windows WinMD Versioned,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{C47FC21E-F496-4817-95A3-1A12B51A6E69},registry
Windows SDK Facade Windows WinMD Versioned,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{978C5573-515E-3F58-37F7-458528F92495},registry
Windows SDK for Windows Store Apps,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{076DDDE2-F8CB-F138-95FB-E958C6E497CF},registry
Windows SDK for Windows Store Apps Contracts,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{0E336D71-64EA-A481-76B8-37CB7C5630EE},registry
Windows SDK for Windows Store Apps Contracts,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{DFAC5BD2-7E53-6302-A784-38A168663931},registry
Windows SDK for Windows Store Apps DirectX x86 Remote,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{E468D844-27F7-3DFA-23F0-ABDC2CF555D0},registry
Windows SDK for Windows Store Apps DirectX x86 Remote,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{D4E30DDE-077F-1652-B081-66BB1F98DF94},registry
Windows SDK for Windows Store Apps Headers,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{B13573B3-86DE-950D-07DD-71ECE767F8E0},registry
Windows SDK for Windows Store Apps Headers,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{CBFB4481-A259-6F87-3ED3-ED679D68B90E},registry
Windows SDK for Windows Store Apps Headers OnecoreUap,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{3DB9B1DF-8209-0E7F-1A36-12F99736E384},registry
Windows SDK for Windows Store Apps Libs,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{538F2EF7-8807-5E59-3621-E606FE025D15},registry
Windows SDK for Windows Store Apps Libs,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{E37FF7C3-0A25-CDB9-895B-4809A7C9AEDE},registry
Windows SDK for Windows Store Apps Metadata,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{04259A4C-FF76-FAFB-20B2-6BA2FB589796},registry
Windows SDK for Windows Store Apps Metadata,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{E5430440-EE14-56B9-5A53-6955BC847BDB},registry
Windows SDK for Windows Store Apps Tools,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{DB0A2082-E91C-2D58-7D65-19113BEDB221},registry
Windows SDK for Windows Store Apps Tools,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{4F4CE2FF-5300-5B48-75B7-92B869735A09},registry
Windows SDK for Windows Store Managed Apps Libs,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{28AF0D1C-2092-E950-2208-FBB43F8092AD},registry
Windows SDK for Windows Store Managed Apps Libs,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{F6C8FA5D-F1D6-1333-0FE8-F258DAA03EAB},registry
Windows SDK Modern Non-Versioned Developer Tools,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{D73FD6A9-F887-0E76-B9DC-7474A637D9A7},registry
Windows SDK Modern Versioned Developer Tools,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{A5980723-EA0A-9FF0-2F17-D3CA231D037C},registry
Windows SDK Modern Versioned Developer Tools,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{4D9BD000-A45D-1E33-FBBF-30B0B8094B3F},registry
Windows SDK OnecoreUap Headers arm64,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{63991DD7-89E8-DC4E-9A54-695B07040D3E},registry
Windows SDK OnecoreUap Headers x64,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{2B1FEEC7-7A01-0D73-AC29-3E32AB18670C},registry
Windows SDK OnecoreUap Headers x86,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{DCF60599-EBD4-6565-2D12-CAB66B1C3FDC},registry
Windows SDK Redistributables,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{54FA2EAA-3564-F73D-4C14-BA8A09144F45},registry
Windows SDK Signing Tools,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{ED8E386F-E3AB-9A0B-55E5-8BF791D9534B},registry
Windows SDK Signing Tools,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{086287C2-689F-844D-E3DD-1C806001EC43},registry
Windows Software Development Kit - Windows 10.0.22621.5040,10.1.22621.5040,Microsoft Corporation,,"""C:\ProgramData\Package Cache\{b72d4013-dd88-405a-9f9d-e88c278dcefe}\winsdksetup.exe"" /uninstall /quiet",registry
Windows Software Development Kit - Windows 10.0.26100.3916,10.1.26100.3916,Microsoft Corporation,,"""C:\ProgramData\Package Cache\{50106ec5-d0ec-4ea1-9e01-e9899676ba3f}\winsdksetup.exe"" /uninstall /quiet",registry
Windows Software Development Kit - Windows 10.0.26100.7175,10.1.26100.7175,Microsoft Corporation,,"""C:\ProgramData\Package Cache\{b5ab6bbd-62a1-45bd-af43-2ea6ac4c3486}\winsdksetup.exe"" /uninstall /quiet",registry
Windows Subsystem for Linux,2.6.2.0,Microsoft Corporation,,MsiExec.exe /X{6EB15DDD-5983-4269-A73E-F459398B8B98},registry
Windows Team Extension SDK,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{E6EE1604-474D-770E-B5FF-C55D709C734E},registry
Windows Team Extension SDK,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{F0C7F3F4-8FE8-8ED2-5CA0-CFF9CDFA9DEA},registry
Windows Team Extension SDK Contracts,10.1.22621.5040,Microsoft Corporation,,MsiExec.exe /I{9BB3D482-022F-1105-BE47-84A933EBEE79},registry
Windows Team Extension SDK Contracts,10.1.26100.7175,Microsoft Corporation,,MsiExec.exe /I{A9B4A927-5520-B58D-C20A-249A720B2472},registry
